Date,Activity,Group,Duration,Distance,Steps,Calories
1/29/2015,walking,walking,1464,0.976,2298,0
1/29/2015,transport,transport,192,0.826,0,0
1/30/2015,walking,walking,5446,4.184,8863,0
1/30/2015,transport,transport,5770,15.764,0,0
1/31/2015,walking,walking,1988,1.238,2821,0
1/31/2015,transport,transport,2786,12.506,0,0
2/1/2015,walking,walking,3086,2.044,4233,0
2/1/2015,transport,transport,156,0.273,0,0
2/2/2015,walking,walking,3585,2.225,5052,0
2/2/2015,transport,transport,1928,6.024,0,0
2/3/2015,walking,walking,4274,3.027,6671,0
2/3/2015,transport,transport,1444,3.766,0,0
2/4/2015,walking,walking,4145,2.66,6518,0
2/4/2015,transport,transport,4223,14.202,0,0
2/5/2015,walking,walking,4587,3.032,6557,0
2/5/2015,transport,transport,2530,10.916,0,0
2/6/2015,walking,walking,4026,2.435,5792,0
2/6/2015,transport,transport,3981,14.679,0,0
2/7/2015,walking,walking,1690,0.849,2300,0
2/7/2015,transport,transport,3224,16.26,0,0
2/8/2015,walking,walking,5678,2.879,7457,0
2/8/2015,transport,transport,2586,21.134,0,0
2/9/2015,walking,walking,780,0.367,1027,0
2/9/2015,transport,transport,377,1.623,0,0
2/10/2015,walking,walking,3794,2.686,5901,0
2/10/2015,transport,transport,1617,3.194,0,0
2/11/2015,walking,walking,4170,2.935,6493,0
2/11/2015,transport,transport,931,2.577,0,0
2/12/2015,walking,walking,3305,2.016,5099,0
2/12/2015,transport,transport,3493,10.873,0,0
2/13/2015,walking,walking,6513,4.366,9671,0
2/13/2015,transport,transport,2428,6.836,0,0
2/14/2015,transport,transport,1304,5.253,0,0
2/14/2015,walking,walking,1098,0.598,1540,0
2/15/2015,walking,walking,2582,1.284,3416,0
2/15/2015,transport,transport,1073,5.072,0,0
2/16/2015,walking,walking,4227,3.148,7302,0
2/16/2015,transport,transport,1761,3.757,0,0
2/17/2015,walking,walking,3555,1.942,5436,0
2/17/2015,transport,transport,1800,3.416,0,0
2/18/2015,walking,walking,5753,4.365,8974,0
2/18/2015,transport,transport,1904,6.188,0,0
2/19/2015,walking,walking,3117,2.062,4910,0
2/19/2015,transport,transport,1390,4.63,0,0
2/20/2015,walking,walking,4600,3.345,7162,0
2/20/2015,transport,transport,2516,11.459,0,0
2/21/2015,walking,walking,2331,1.36,3427,0
2/21/2015,transport,transport,1306,5.766,0,0
2/22/2015,walking,walking,979,0.588,1604,0
2/22/2015,transport,transport,900,4.224,0,0
2/23/2015,walking,walking,3570,2.95,6570,0
2/23/2015,transport,transport,1814,3.018,0,0
2/24/2015,walking,walking,3412,1.955,4797,0
2/24/2015,transport,transport,1231,2.949,0,0
2/25/2015,walking,walking,5074,3.544,7667,0
2/25/2015,transport,transport,6495,25.061,0,0
2/26/2015,walking,walking,3841,2.533,5717,0
2/26/2015,transport,transport,1795,5.398,0,0
2/27/2015,walking,walking,5509,3.908,8328,0
2/27/2015,transport,transport,4412,16.981,0,0
2/28/2015,transport,transport,6059,36.33,0,0
2/28/2015,walking,walking,2820,1.606,3895,0
3/1/2015,walking,walking,11369,6.675,17628,0
3/1/2015,transport,transport,2416,11.177,0,0
3/2/2015,transport,transport,15058,239.666,0,0
3/2/2015,walking,walking,11497,6.828,16673,0
3/3/2015,walking,walking,2040,1.09,2872,0
3/3/2015,transport,transport,6039,39.155,0,0
3/4/2015,walking,walking,2010,1.147,2740,0
3/4/2015,transport,transport,16214,307.499,0,0
3/5/2015,walking,walking,4674,2.555,7006,0
3/5/2015,transport,transport,2611,12.111,0,0
3/6/2015,walking,walking,1092,0.579,1487,0
3/6/2015,transport,transport,3409,24.371,0,0
