Date,Activity,Group,Duration,Distance,Steps,Calories
1/30/15,walking,walking,4063,3.397,6626,0
1/30/15,transport,transport,3453,22.276,0,0
1/31/15,walking,walking,1785,1.051,2501,0
1/31/15,transport,transport,2914,10.075,0,0
2/1/15,walking,walking,883,0.508,1250,0
2/1/15,transport,transport,1436,10.202,0,0
2/2/15,walking,walking,3622,2.528,6016,0
2/2/15,transport,transport,3293,11.928,0,0
2/3/15,walking,walking,4143,2.510,6248,0
2/3/15,transport,transport,5083,18.173,0,0
2/4/15,walking,walking,2901,1.767,4778,0
2/4/15,transport,transport,3848,12.652,0,0
2/5/15,walking,walking,5347,3.687,8427,0
2/5/15,transport,transport,4306,11.210,0,0
2/6/15,walking,walking,6528,5.133,10692,0
2/6/15,transport,transport,10381,94.881,0,0
2/7/15,walking,walking,9254,5.489,13004,0
2/7/15,transport,transport,3048,29.893,0,0
2/8/15,walking,walking,604,0.286,788,0
2/8/15,transport,transport,5919,77.426,0,0
2/9/15,walking,walking,4770,3.161,7465,0
2/9/15,transport,transport,2747,10.154,0,0
2/10/15,walking,walking,4971,3.211,7278,0
2/10/15,transport,transport,4213,11.351,0,0
2/11/15,walking,walking,4201,3.020,6826,0
2/11/15,transport,transport,2090,9.454,0,0
2/12/15,walking,walking,2639,1.858,4321,0
2/12/15,transport,transport,2975,10.424,0,0
2/13/15,walking,walking,4068,2.912,6782,0
2/13/15,transport,transport,5180,18.514,0,0
2/14/15,walking,walking,3629,2.247,5609,0
2/14/15,transport,transport,4272,19.628,0,0
2/15/15,walking,walking,339,0.137,432,0
2/15/15,transport,transport,2425,18.946,0,0
2/16/15,walking,walking,5147,3.426,7796,0
2/16/15,transport,transport,3141,15.829,0,0
2/17/15,walking,walking,3704,2.251,5693,0
2/17/15,transport,transport,3770,15.060,0,0
2/18/15,walking,walking,3512,2.222,5123,0
2/18/15,transport,transport,3402,10.922,0,0
2/19/15,walking,walking,7192,4.858,10883,0
2/19/15,transport,transport,3829,17.587,0,0
2/20/15,walking,walking,8616,6.219,13934,0
2/20/15,transport,transport,4513,18.232,0,0
2/21/15,walking,walking,1463,0.782,1862,0
2/21/15,transport,transport,2433,9.809,0,0
2/22/15,walking,walking,2278,1.445,3183,0
2/22/15,transport,transport,1316,7.094,0,0
2/23/15,walking,walking,6682,4.758,10957,0
2/23/15,transport,transport,4192,15.301,0,0
2/24/15,walking,walking,2905,1.765,4307,0
2/24/15,transport,transport,3408,13.377,0,0
2/25/15,walking,walking,7142,4.867,11189,0
2/25/15,transport,transport,3084,10.381,0,0
2/26/15,walking,walking,5974,4.151,8726,0
2/26/15,transport,transport,4614,19.423,0,0
2/27/15,walking,walking,8511,6.324,13732,0
2/27/15,transport,transport,6907,36.032,0,0
2/28/15,walking,walking,1292,0.635,1630,0
2/28/15,transport,transport,2518,12.594,0,0
3/1/15,walking,walking,2055,1.163,2887,0
3/1/15,transport,transport,2659,15.428,0,0
3/2/15,walking,walking,2146,1.462,3349,0
3/2/15,transport,transport,2914,13.092,0,0
3/3/15,walking,walking,3113,1.977,4651,0
3/3/15,transport,transport,1869,9.450,0,0
3/4/15,walking,walking,4851,2.833,7043,0
3/4/15,transport,transport,4714,24.757,0,0
3/4/15,running,running,427,0.234,340,0
3/5/15,walking,walking,8562,5.647,13133,0
3/5/15,transport,transport,11017,119.361,0,0
3/6/15,walking,walking,1366,0.693,1634,0
3/6/15,transport,transport,9018,95.671,0,0
3/7/15,walking,walking,6799,5.103,10893,0
3/7/15,transport,transport,1494,6.792,0,0
3/8/15,walking,walking,295,0.131,423,0
3/8/15,transport,transport,1760,11.806,0,0
3/9/15,walking,walking,6058,3.351,8329,0
3/9/15,transport,transport,2900,9.581,0,0
3/10/15,walking,walking,4960,3.052,7405,0
3/10/15,transport,transport,2684,10.866,0,0
3/11/15,walking,walking,4602,2.884,6739,0
3/11/15,transport,transport,2628,9.541,0,0
3/12/15,walking,walking,5509,3.577,8556,0
3/12/15,transport,transport,3169,11.207,0,0
3/13/15,walking,walking,7448,5.331,11991,0
3/13/15,transport,transport,5340,28.083,0,0
3/14/15,walking,walking,1189,0.550,1504,0
3/14/15,transport,transport,3464,14.032,0,0
3/15/15,walking,walking,171,0.098,220,0
3/16/15,walking,walking,4533,3.035,6765,0
3/16/15,transport,transport,2372,10.474,0,0
3/17/15,walking,walking,6302,4.531,9786,0
3/17/15,transport,transport,4773,17.275,0,0
3/18/15,walking,walking,3185,2.229,4882,0
3/19/15,walking,walking,2667,1.379,4443,0
3/20/15,walking,walking,3533,1.670,5290,0
3/21/15,walking,walking,378,0.237,522,0
3/22/15,walking,walking,1841,1.136,2532,0
3/23/15,walking,walking,3425,2.336,5522,0
3/23/15,transport,transport,2393,7.813,0,0
3/24/15,walking,walking,4382,2.663,6832,0
3/24/15,transport,transport,3016,11.028,0,0
3/25/15,walking,walking,3375,2.028,5147,0
3/25/15,transport,transport,2283,9.787,0,0
3/26/15,walking,walking,4027,2.751,6788,0
3/26/15,transport,transport,3868,17.835,0,0
3/27/15,walking,walking,7616,5.574,12449,0
3/27/15,transport,transport,3391,15.292,0,0
3/28/15,walking,walking,7807,5.431,12023,0
3/28/15,transport,transport,9241,95.134,0,0
3/29/15,walking,walking,5034,3.212,7403,0
3/29/15,transport,transport,7227,90.628,0,0
3/30/15,walking,walking,4006,2.698,6089,0
3/30/15,transport,transport,4823,15.944,0,0
3/31/15,walking,walking,6409,4.791,10790,0
3/31/15,transport,transport,2646,10.859,0,0
4/1/15,walking,walking,3308,2.054,5205,0
4/1/15,transport,transport,2958,9.880,0,0
4/2/15,walking,walking,5702,3.795,9079,0
4/2/15,transport,transport,3623,10.102,0,0
4/2/15,cycling,cycling,211,0.293,0,0
4/3/15,walking,walking,6554,5.366,10956,0
4/3/15,transport,transport,4805,17.688,0,0
4/4/15,walking,walking,1244,0.557,1667,0
4/4/15,transport,transport,2903,17.583,0,0
4/5/15,walking,walking,2442,1.246,2885,0
4/5/15,transport,transport,5129,31.414,0,0
4/6/15,walking,walking,2445,1.738,3805,0
4/6/15,transport,transport,3800,10.481,0,0
4/7/15,walking,walking,5298,4.059,8365,0
4/7/15,transport,transport,5189,19.584,0,0
4/7/15,cycling,cycling,222,1.012,0,0
4/8/15,walking,walking,7479,5.502,12145,0
4/8/15,transport,transport,2272,9.305,0,0
4/9/15,walking,walking,3605,2.307,5709,0
4/9/15,transport,transport,3392,12.742,0,0
4/9/15,cycling,cycling,523,0.582,0,0
4/10/15,walking,walking,3338,2.258,5256,0
4/10/15,transport,transport,23520,396.463,0,0
4/11/15,walking,walking,2671,1.601,3645,0
4/11/15,transport,transport,6719,48.978,0,0
