Date,Activity,Group,Duration,Distance,Steps,Calories
3/30/15,walking,walking,606,0.319,871,28
3/30/15,transport,transport,2829,13.849,0,0
3/31/15,walking,walking,1753,1.013,2389,87
3/31/15,transport,transport,4766,21.068,0,0
3/31/15,running,running,1806,3.283,5043,342
4/1/15,walking,walking,1555,0.857,2434,74
4/1/15,transport,transport,9208,44.324,0,0
4/2/15,walking,walking,1589,0.945,2403,82
4/2/15,transport,transport,5100,21.457,0,0
4/2/15,running,running,1479,1.418,3260,156
4/3/15,walking,walking,2070,1.135,2816,98
4/3/15,transport,transport,3622,20.456,0,0
4/3/15,running,running,1318,1.943,3086,205
4/4/15,walking,walking,3692,2.184,4800,188
4/4/15,cycling,cycling,365,0.219,0,11
4/4/15,running,running,1171,2.069,3120,216
4/4/15,transport,transport,3968,25.084,0,0
4/5/15,walking,walking,1206,0.624,1825,54
4/5/15,cycling,cycling,781,0.472,0,24
4/5/15,running,running,2311,2.532,5821,274
4/5/15,transport,transport,4794,40.916,0,0
4/6/15,walking,walking,3209,2.053,4996,177
4/6/15,transport,transport,8648,55.229,0,0
4/7/15,walking,walking,1354,0.910,2058,79
4/7/15,transport,transport,4932,20.870,0,0
4/7/15,running,running,361,0.588,1001,62
4/8/15,walking,walking,3454,2.327,4912,201
4/8/15,transport,transport,4076,20.210,0,0
4/8/15,running,running,2324,3.537,5936,373
4/9/15,walking,walking,1031,0.698,1684,60
4/9/15,transport,transport,2601,13.237,0,0
4/9/15,running,running,559,0.851,1522,90
