Date,Activity,Group,Duration,Distance,Steps,Calories
3/30/2015,walking,walking,1339,1.209,1669,0
3/30/2015,transport,transport,1427,11.457,0,0
3/31/2015,walking,walking,825,0.731,1139,0
3/31/2015,transport,transport,1266,8.165,0,0
4/1/2015,walking,walking,1507,1.476,2047,0
4/1/2015,transport,transport,2357,20.011,0,0
4/1/2015,running,running,277,0.784,539,0
4/2/2015,walking,walking,2687,3.044,3516,0
4/5/2015,walking,walking,1831,2.48,2861,0
4/6/2015,walking,walking,3283,3.986,3926,0
4/7/2015,walking,walking,2322,2.846,3240,0
4/8/2015,walking,walking,2784,2.903,3224,0
4/9/2015,walking,walking,3315,4.641,5573,0
4/10/2015,walking,walking,3484,4.061,4347,0
4/10/2015,transport,transport,1302,6.843,0,0
